Id,target
15576,0
94308,0
53983,0
61359,0
71383,0
108434,0
69374,0
118457,0
82524,0
138301,0
49615,0
107350,0
112840,0
99030,0
46607,0
24503,0
128264,0
98694,0
146484,0
123155,1
106978,0
8627,0
148825,1
16548,0
54150,0
130031,0
126361,1
118754,0
95425,0
141849,0
29802,0
100274,0
1124,0
23256,0
83425,0
91685,0
9960,0
47038,0
63212,0
136669,0
90158,0
120186,0
3634,0
72126,0
116979,0
104792,0
106729,0
25952,0
74789,0
120140,0
93623,0
62106,0
39508,0
39548,0
75677,1
44130,0
116689,1
81534,0
134769,0
123665,0
50523,1
147936,1
138403,0
20964,0
47483,0
127433,0
61823,0
32981,0
74940,0
53892,0
133557,0
77956,0
91960,0
103057,0
120986,0
83093,0
58027,0
91049,0
28609,0
27721,0
110878,0
57785,0
93866,0
97008,0
140337,0
37142,0
143719,0
105029,0
77259,0
45130,0
39035,0
66673,0
20634,0
11979,0
107884,0
115470,1
78479,0
104028,0
139539,1
122258,0
21541,0
45172,0
45122,1
17521,0
73569,0
136945,0
144474,0
129850,0
108270,0
65477,0
116400,1
27086,1
125860,0
4907,0
70582,0
33647,0
25037,0
40250,0
125618,0
96316,0
143751,0
112311,0
22377,0
73089,0
146810,0
59036,0
61616,0
73714,0
17372,0
35585,0
136176,0
84352,0
35913,0
54460,0
58126,0
149637,0
89023,0
30367,0
15306,0
146878,0
108892,0
102919,0
116117,0
107042,0
3036,0
142389,0
81903,0
135500,0
48706,0
128724,0
84473,0
19367,0
47293,0
140279,0
66394,0
50312,1
95397,0
100608,0
88251,0
7089,0
13712,0
36764,0
140959,0
47423,0
137457,0
141609,0
49408,0
106651,0
3163,0
69752,0
63571,0
134941,0
9705,0
114248,0
15626,0
12647,0
142385,1
14240,0
94654,0
19903,0
63751,0
127499,0
136721,0
36078,0
97505,1
53686,0
129805,0
1191,0
17892,0
85303,0
30779,0
6904,0
49871,0
115625,1
4900,0
25377,0
63718,0
52769,0
3334,0
24554,0
79624,0
65993,0
29449,0
13239,0
132626,0
52161,0
67150,0
51988,0
89652,1
68200,0
125460,0
77867,0
104976,0
81665,0
38202,1
75387,0
121526,0
62651,0
16541,0
96536,0
58651,0
38892,0
7429,0
87042,0
44510,0
55896,0
47631,0
129104,0
134544,0
52495,0
10513,0
79755,0
42411,0
867,0
9706,1
30134,0
